Resistivity:0.18019
5.862612946;1.460960999
5.852705292;1.474802307
5.84121048;1.490150208
5.829681427;1.50621817
5.81690863;1.523243866
5.804322144;1.541331024
5.789788971;1.561108063
5.775386719;1.5807995
5.759487946;1.602933105
5.742830841;1.625672974
5.723937012;1.65116217
5.704272766;1.677358337
5.683414124;1.706224274
5.661986481;1.735846527
5.637144836;1.769231232
5.612172272;1.803181915
5.583887421;1.841377441
5.554725403;1.881349457
5.522815063;1.924227905
5.487561218;1.970854706
5.449133057;2.021283234
5.409163055;2.074491302
5.363776978;2.133918091
5.317120972;2.197085175
5.265229156;2.265001648
5.208093475;2.341355438
5.147267853;2.421365936
5.077830688;2.511864166
5.006067169;2.608254822
4.925590393;2.715567261
4.838323883;2.832407684
4.741540466;2.964556732
4.638998566;3.10528006
4.521334351;3.270128998
4.398198669;3.446019562
4.259342468;3.650603851
4.109161652;3.878178772
3.943359009;4.139223999
3.766846069;4.432149353
3.565157135;4.785339386
3.357909119;5.174706757
3.117864532;5.664375275
2.86146698;6.238567017
