Resistivity;Udistance;UEddy
1,2493;3,602218689;2,976259003
1,2493;3,39377829;3,091455872
1,2493;3,15534906;3,223322937
1,2493;2,911678986;3,358761108
1,2493;2,630538483;3,516182831
1,2493;2,330577667;3,686400513
1,2493;2,009254669;3,870661926
1,2493;1,654027313;4,077965332
1,2493;1,253036224;4,314072235
1,2493;0,813005676;4,561389954
;;
0,464;5,857210968;1,492662872
0,464;5,846668854;1,507267548
0,464;5,834451965;1,523100861
0,464;5,822353912;1,539472961
0,464;5,809393799;1,557145203
0,464;5,796268524;1,575707703
0,464;5,781120026;1,595228943
0,464;5,767177002;1,614861969
0,464;5,749980103;1,637788147
0,464;5,732144714;1,661093994
0,464;5,713508698;1,685919525
0,464;5,693149567;1,712311066
0,464;5,671092499;1,74057074
0,464;5,648907532;1,76990799
0,464;5,623060822;1,802206055
0,464;5,596605835;1,83511441
0,464;5,567301819;1,872249481
0,464;5,536885986;1,910633331
0,464;5,504082367;1,951272034
0,464;5,467712677;1,995840363
0,464;5,428007538;2,043293976
0,464;5,386165375;2,093043732
0,464;5,339229401;2,148334442
0,464;5,289626678;2,206382538
0,464;5,235537415;2,268236389
0,464;5,175254608;2,337465088
0,464;5,111594055;2,409488434
0,464;5,039411591;2,490179718
0,464;4,963815125;2,574764374
0,464;4,879551727;2,668013947
0,464;4,788810791;2,768471191
0,464;4,687293091;2,879985168
0,464;4,579954468;2,998156952
0,464;4,45589328;3,13433432
0,464;4,327185425;3,277021454
0,464;4,181617035;3,439532959
0,464;4,024106689;3,616133514
0,464;3,851678467;3,816089264
0,464;3,66623877;4,033047546
0,464;3,455907074;4,287302032
0,464;3,239616486;4,560109955
0,464;2,987858551;4,88972525
0,464;2,720142426;5,259169556
0,464;2,432465973;5,683233856
0,464;2,117644684;6,182154419
;;
0,18019;5,862612946;1,460960999
0,18019;5,852705292;1,474802307
0,18019;5,84121048;1,490150208
0,18019;5,829681427;1,50621817
0,18019;5,81690863;1,523243866
0,18019;5,804322144;1,541331024
0,18019;5,789788971;1,561108063
0,18019;5,775386719;1,5807995
0,18019;5,759487946;1,602933105
0,18019;5,742830841;1,625672974
0,18019;5,723937012;1,65116217
0,18019;5,704272766;1,677358337
0,18019;5,683414124;1,706224274
0,18019;5,661986481;1,735846527
0,18019;5,637144836;1,769231232
0,18019;5,612172272;1,803181915
0,18019;5,583887421;1,841377441
0,18019;5,554725403;1,881349457
0,18019;5,522815063;1,924227905
0,18019;5,487561218;1,970854706
0,18019;5,449133057;2,021283234
0,18019;5,409163055;2,074491302
0,18019;5,363776978;2,133918091
0,18019;5,317120972;2,197085175
0,18019;5,265229156;2,265001648
0,18019;5,208093475;2,341355438
0,18019;5,147267853;2,421365936
0,18019;5,077830688;2,511864166
0,18019;5,006067169;2,608254822
0,18019;4,925590393;2,715567261
0,18019;4,838323883;2,832407684
0,18019;4,741540466;2,964556732
0,18019;4,638998566;3,10528006
0,18019;4,521334351;3,270128998
0,18019;4,398198669;3,446019562
0,18019;4,259342468;3,650603851
0,18019;4,109161652;3,878178772
0,18019;3,943359009;4,139223999
0,18019;3,766846069;4,432149353
0,18019;3,565157135;4,785339386
0,18019;3,357909119;5,174706757
0,18019;3,117864532;5,664375275
0,18019;2,86146698;6,238567017
;;
0,1031;5,853047699;1,432455597
0,1031;5,842093689;1,445696686
0,1031;5,830299774;1,460100952
0,1031;5,818477661;1,475008759
0,1031;5,804945526;1,491134125
0,1031;5,791579559;1,507898987
0,1031;5,776512634;1,52643631
0,1031;5,762213104;1,545054199
0,1031;5,745008148;1,566978333
0,1031;5,727241241;1,588567108
0,1031;5,708416901;1,612535614
0,1031;5,688063812;1,637577667
0,1031;5,665933228;1,665605713
0,1031;5,643019135;1,694468628
0,1031;5,617152283;1,726213806
0,1031;5,590792969;1,759464569
0,1031;5,561897827;1,796272339
0,1031;5,531058014;1,834478943
0,1031;5,496682343;1,877634338
0,1031;5,460353943;1,923067749
0,1031;5,419928741;1,973473114
0,1031;5,377889191;2,02589566
0,1031;5,331030762;2,08545639
0,1031;5,280774445;2,148439178
0,1031;5,225778809;2,217465454
0,1031;5,165904877;2,293523163
0,1031;5,100964325;2,377184326
0,1031;5,030719482;2,467646301
0,1031;4,951858063;2,56962323
0,1031;4,86965213;2,678452332
0,1031;4,775982605;2,804714996
0,1031;4,675689514;2,940425079
0,1031;4,56449881;3,095384491
0,1031;4,444506226;3,268160156
0,1031;4,310537384;3,46658313
0,1031;4,169000336;3,685184967
0,1031;4,006799011;3,948825439
0,1031;3,837248016;4,238411316
0,1031;3,644837311;4,591313324
0,1031;3,439930756;4,997767822
0,1031;3,213973206;5,491245117
0,1031;2,971489471;6,084804016
