Resistivity:1.2493
5.844595276;1.469591675
5.833249512;1.481263733
5.820486786;1.494556183
5.80779657;1.507816406
5.794287598;1.521990051
5.779446259;1.53670047
5.763873779;1.552387756
5.747936737;1.56848996
5.729308777;1.586271973
5.710333374;1.604067078
5.689622772;1.623772614
5.668286774;1.643685608
5.64387616;1.665544281
5.618807922;1.687884338
5.590646942;1.712289917
5.562723633;1.736631042
5.530358093;1.763900757
5.496329865;1.792118134
5.459237091;1.822022369
5.419116028;1.85352182
5.374741058;1.887693054
5.328855469;1.922624634
5.276084473;1.961312622
5.220227783;2.001459869
5.160120209;2.043845856
5.092861359;2.090291382
5.021345581;2.138082367
4.941613037;2.190927887
4.856195526;2.245983948
4.760539032;2.305897156
4.657685944;2.369449951
4.54393927;2.438210358
4.422558929;2.510106812
4.284154907;2.59132782
4.137880554;2.674949707
3.97381311;2.768206329
3.796787567;2.867563843
3.602218689;2.976259003
3.39377829;3.091455872
3.15534906;3.223322937
2.911678986;3.358761108
2.630538483;3.516182831
2.330577667;3.686400513
2.009254669;3.870661926
1.654027313;4.077965332
1.253036224;4.314072235
0.813005676;4.561389954
